,source,target,edge
2659,90%,invasive mechanicalventilation,require
2660,investigations,utmost importance,have
2661,theratio,atelectatic/overdistended alveoli,estimated
2662,ClinicalTrials.gov,data,processed
2663,ClinicalTrials.gov,data,processed
2664,study,diagnostic performance,investigates
2665,RT-PCR,COVID-19 positive2,confirmed
2666,RT-PCR,COVID-19 negative3,confirmed
2667,ClinicalTrials.gov,data,processed
2668,ClinicalTrials.gov,data,processed
2669,hospitals,ethical approach upstream,institutionalized
2670,study,2 weekly meetings,set up
2671,ClinicalTrials.gov,data,processed
2672,Participants,blood sample,give
2673,Participants,Participants history,discuss
2674,machine,plasma,willseparate
2675,Participation,up to 240 days,last
2676,Enrolled subjects,baselinephysical laboratory examination,receive
2677,Provide,informed consent,written
2678,Females,screening,have
2679,ClinicalTrials.gov,data,processed
2680,Post - acute COVID-19 patients,convalescents).Sample size calculation,discharged from
2681,healthcare professionals,clinical recommendations,give to
2682,Patients,new recommendations,receive
2683,ClinicalTrials.gov,data,processed
2684,itremains,seroprevalence,unclear
2685,ClinicalTrials.gov,data,processed
2686,ClinicalTrials.gov,data,processed
2687,ClinicalTrials.gov,data,processed
2688,Patients,hospital,leave
2689,local ethics committee,thisstudy,approved
2690,Investigators,frequency,analysed
2691,ClinicalTrials.gov,data,processed
2692,Patients,leflunomide,receive
2693,Patients,QD,receive
2694,Cycles,28 days,repeatevery
2695,Cycles,28days,repeat
2696,Patients,completion,receiveSOC.After
2697,Inclusion,consent,informed
2698,Subjects,following therapies,received
2699,ClinicalTrials.gov,data,processed
2700,Pandemic,fears,created
2701,dental treatment procedures,aerosols,generate
2702,Pandemic,fears,created
2703,google form,compulsory consent,alsosought for
2704,ClinicalTrials.gov,data,processed
2705,Coronavirus Emergency,Italian Healthcare National System,affected
2706,ClinicalTrials.gov,data,processed
2707,ClinicalTrials.gov,data,processed
2708,chosen adult subject,physician independent consent,permitted to
2709,ClinicalTrials.gov,data,processed
2710,ClinicalTrials.gov,data,processed
2711,ClinicalTrials.gov,data,processed
2712,COVID19 pandemic,public health emergency,represents
2713,ClinicalTrials.gov,data,processed
2714,cytokine storm,increase,induces
2715,MSCs,positive role,play
2716,ClinicalTrials.gov,data,processed
2717,Respiratory Control Center Anomalies,Lack,Explain
2718,attenuation,clinicians,deprives
2719,ClinicalTrials.gov,data,processed
2720,ClinicalTrials.gov,data,processed
2721,HOPECOVID19,new respiratory virus,generatedby
2722,ClinicalTrials.gov,data,processed
2723,pandemic,fromWuhan Province,emerged
2724,ClinicalTrials.gov,data,processed
2725,ClinicalTrials.gov,data,processed
2726,ClinicalTrials.gov,data,processed
2727,SARS CoV-2 infection,dysregulation,causes
2728,Therelease,positivefeedback loop,facilitate
2729,cardinal features,constant fever,include
2730,Endogenous viral protein,virus specific CD8 T cells,canactivate
2731,Therapeutic options,steroids intravenous immunoglobulin selective cytokine blockade(eg Anakinra Tocilizumab JAK inhibition vaccines reinfusion,include
2732,Patients,TCZ treatment,received
2733,China,astudy,conducting
2734,18 years or older-Diagnosis of SARS,≥ 30 breaths min,increase in
2735,vasopressors,mean arterial pressure,respiratory failure
2736,ClinicalTrials.gov,data,processed
2737,phase,efficacy,evaluate
2738,ClinicalTrials.gov,data,processed
2739,250 patients,nitazoxanide 500mg 8 / 8 hours,received
2740,250 patients,placebo,received
2741,Population,suggestive,scan
2742,ClinicalTrials.gov,data,processed
2743,studies,outinside,carried
2744,Wuhan Hospitals,presence,showed
2745,etc.).Its mechanism,virus adsorption,preventing
2746,ClinicalTrials.gov,data,processed
2747,Patient,extracorporeal membrane oxygenation,receiving
2748,Patient,history,has
2749,ClinicalTrials.gov,data,processed
2750,theclinical efficacy,significant effects,described
2751,ClinicalTrials.gov,data,processed
2752,Arandomized study,role hydrochloride,clarify
2753,ClinicalTrials.gov,data,processed
2754,body,systemic adaptation response,undergoes
2755,triad,toend organ failure,lead
2756,ClinicalTrials.gov,data,processed
2757,Arandomized study,to:1,seeks
2758,ClinicalTrials.gov,18y available data,processed
2759,ClinicalTrials.gov,data,processed
2760,ClinicalTrials.gov,data,processed
2761,investigators,correlationbetween clinical immunovirological data,study
2762,investigator,correlation,study
2763,Research interventions,prospective collection,include
2764,Recruitment,priority,datais
2765,ClinicalTrials.gov,data,processed
2766,ClinicalTrials.gov,data,processed
2767,ClinicalTrials.gov,data,processed
2768,ClinicalTrials.gov,data,processed
2769,Hospitalization,delayed resuscitation,require
2770,ClinicalTrials.gov,data,processed
2771,ClinicalTrials.gov,data,processed
2772,COVID-19 patients,coagulopathy,develop
2773,patients,severe thrombotic complications,develop
2774,Patients,typical Covid-19 manifestation,showing
2775,ClinicalTrials.gov,data,processed
2776,Bats,dampened Nod like receptorfamily,have
2777,intervention groupwill,capsules,receive
2778,non - intervention group,placebopills,receive
2779,ClinicalTrials.gov,data,processed
2780,WOCBP,negative highly sensitive pregnancy test,have
2781,screening visit.-Has,vaccine,received
2782,ClinicalTrials.gov,data,processed
2783,ClinicalTrials.gov,data,processed
2784,ClinicalTrials.gov,data,processed
2785,Guo colleagues meta analysis,thatARBs,showed
2786,Our proposed ARBs CORONA II Phase 3 RCT,losartancan decrease mortality,establish
2787,Primary - Losartan,mortality,decreases
2788,ClinicalTrials.gov,data,processed
2789,Participants,one of two aromas to inhale with one beingactive and the other a control comparison,receive
2790,pending-adults age,informed consentExclusion Criteria:-Smoker,participated in
2791,ClinicalTrials.gov,data,processed
2792,ClinicalTrials.gov,data,processed
2793,specific effect,use,justifies
2794,ClinicalTrials.gov,data,processed
2795,ClinicalTrials.gov,data,processed
2796,ClinicalTrials.gov,data,processed
2797,patient,consent,given
2798,ClinicalTrials.gov,data,processed
2799,ClinicalTrials.gov,data,processed
2800,Covid 19 pandemia,millions of deaths worldwide,causing
2801,ofCOVID-19,cytokine storm syndrome,have
2802,Inclusion,clinical diagnosis,Criteria:-documented
2803,ClinicalTrials.gov,data,processed
2804,Patients,hospitalized)8,treated in
2805,ClinicalTrials.gov,data,processed
2806,ClinicalTrials.gov,data,processed
2807,ClinicalTrials.gov,data,processed
2808,ClinicalTrials.gov,data,processed
2809,metformin,severity,Determine
2810,metformin,symptomatic COVID-19,Determine
2811,metformin,SARS CoV-2 infection,Determine
2812,ClinicalTrials.gov,data,processed
2813,ClinicalTrials.gov,data,processed
2814,study,impact,compare
2815,ClinicalTrials.gov,data,processed
2816,ClinicalTrials.gov,data,processed
2817,ClinicalTrials.gov,data,processed
2818,ClinicalTrials.gov,data,processed
2819,therapeuticmanagement,empiric antimicrobial therapy,includes
2820,Usual biology,procalcitonin measurement,includes
2821,Empirical antimicrobialtherapy,generation cephalosporin,combines
2822,ClinicalTrials.gov,data,processed
2823,patients,supplemental oxygen,need
2824,retesting,Current hospitalization,allowed
2825,ClinicalTrials.gov,data,processed
2826,Sulforaphane,lungs frominflammatory pathology,derived from
2827,ClinicalTrials.gov,data,processed
2828,patient consents,baseline demographic details,collect
2829,Patients,≥18 years2,aged
2830,ClinicalTrials.gov,data,processed
2831,study,association,evaluate
2832,study,collection,involves
2833,ClinicalTrials.gov,data,processed
2834,CORIMUNO19-COAG,efficacy,evaluate
2835,ClinicalTrials.gov,data,processed
2836,oxygen.-Score,oxygen,hospitalized
2837,ClinicalTrials.gov,data,processed
2838,signs,dehydrogenase,lactate
2839,ClinicalTrials.gov,data,processed
2840,Subjects,open label screened plasma,receive
2841,infection.-Severe DIC,factor replacement,needing
2842,ClinicalTrials.gov,data,processed
2843,Cases,criteria,meeting
2844,ClinicalTrials.gov,data,processed
2845,ClinicalTrials.gov,data,processed
2846,Patients,impact,investigate
2847,ClinicalTrials.gov,data,processed
2848,double blind placebo controlled study,efficacy,toassess
2849,double blind placebo controlled study,efficacy,obtained
2850,ClinicalTrials.gov,data,processed
2851,ClinicalTrials.gov,data,processed
2852,Laboratory,SARS CoV-2 infection,confirmed
2853,ClinicalTrials.gov,data,processed
2854,ClinicalTrials.gov,data,processed
2855,ClinicalTrials.gov,data,processed
2856,ClinicalTrials.gov,data,processed
2857,Patients,routine care,receive
2858,ClinicalTrials.gov,data,processed
2859,ClinicalTrials.gov,data,processed
2860,Inclusion Criteria:-Males,12yrs,aged
2861,ClinicalTrials.gov,data,processed
2862,60 - 80 years of age,indesignated hotspots,Intervention study Study population
2863,Investigators,Red & Orange zones,include
2864,information,incommunity organizations,presented
2865,immunological biomarkeranalysis,additional blood samples,provide
2866,Detection,ICMR validated SARS CoV-2 Antibody Test,performedusing
2867,Presence,presence,willindicate
2868,primary variables,percentage,bethe
2869,Inclusion,60 years of age or older,Criteria:-Adults
2870,ClinicalTrials.gov,data,processed
2871,dateapproximately 600 individuals,IMU-838,received
2872,trial,adaptive sequential design,uses
2873,An IDMC,unblinded data,review
2874,thefinal analysis,approximately 230 patients,expected
2875,IA1,indicateactivity,extended to
2876,Barrier methods,cap,include
2877,1.0 109 L,"100,000 mm³",count
2878,ordinary activity,fatigue,Less
2879,ClinicalTrials.gov,data,processed
2880,An Independent Data SafetyMonitoring Board,participating subjects,supervise
2881,clinical endpoints,life threateningrespiratory disease,include
2882,ClinicalTrials.gov,data,processed
2883,study,thepredictors,assessed
2884,ClinicalTrials.gov,data,processed
2885,study,300 participants,enroll
2886,ClinicalTrials.gov,data,processed
2887,ClinicalTrials.gov,data,processed
2888,diagnosis,thepresence,include
2889,Patient,supportive oxygen therapy4,requires
2890,ClinicalTrials.gov,data,processed
2891,ClinicalTrials.gov,data,processed
2892,thekilling,awareness,raised
2893,ClinicalTrials.gov,data,processed
2894,considerable,intensive care treatment forCovid-19 associated pneumonia,require
2895,ClinicalTrials.gov,data,processed
2896,BackgroundCOVID-19,lower case fatality rate,shown
2897,common cause,theactivation,promote
2898,MVs,increasingattention,received
2899,Outpatients,byGeneral Practitioners,recruited
2900,ClinicalTrials.gov,data,processed
2901,caregivers,severalissues,facing
2902,current period,profoundreorganization,necessitated
2903,ClinicalTrials.gov,data,processed
2904,ClinicalTrials.gov,data,processed
2905,the Food and Drug Administration (FDA,severalplatforms,approved
2906,clinicallaboratory improvement amendments,complexity,designated
2907,ClinicalTrials.gov,data,processed
2908,depression,relationship,aimed
2909,42.463.119 individuals,criterion,cover
2910,ClinicalTrials.gov,data,processed
2911,improve,toenhance,contribute
2912,ClinicalTrials.gov,data,processed
2913,kit,regulatoryapproval,obtained
2914,ClinicalTrials.gov,data,processed
2915,ClinicalTrials.gov,data,processed
2916,ClinicalTrials.gov,data,processed
2917,outcomes,islittle information,tend to
2918,ClinicalTrials.gov,data,processed
2919,Research interventions,place,take
2920,latent TB,TB,treated
2921,Chronic recent corticosteroid,> 10 mg/day9,use
2922,women,highly effective methods,Women of
2923,ClinicalTrials.gov,data,processed
2924,NFS liver tests,biomarkers,lymphocyte
2925,Chest,tomography,computed
2926,ClinicalTrials.gov,data,processed
2927,ClinicalTrials.gov,data,processed
2928,patients,week afterillness onset,deteriorate
2929,Pal pulmonary,rehabilitation program,focused
2930,ClinicalTrials.gov,data,processed
2931,researchers,infodemic,haveobserved
2932,investigators,single stage,propose
2933,researchers,data quality interms,explore
2934,ClinicalTrials.gov,data,processed
2935,Coronavirus Artificial Antigen,Cell Vaccine,Presenting
2936,basedon,domains,conserved
2937,2019,new coronavirus,is
2938,Covid-19,threat,pose
2939,subjects,total,receive
2940,ClinicalTrials.gov,data,processed
2941,People,changes,haveexperienced
2942,Common co - existing comorbidities,patients,place
2943,change,distress,exacerbate
2944,rapid changes,shifting risk benefit ratio forpatients,reflected
2945,use,tothe fore,come
2946,electronic Patient,Outcome Measures,Reported
2947,ClinicalTrials.gov,data,processed
2948,household,intervention,receive
2949,Symptomatic,concomitant use,exclude
2950,ClinicalTrials.gov,data,processed
2951,ClinicalTrials.gov,data,processed
2952,participants,symptom questionnaire,complete
2953,10 participants,clinic home visit,provided to
2954,a current EC,informed consent form2,Signed
2955,ClinicalTrials.gov,data,processed
2956,ClinicalTrials.gov,data,processed
2957,ClinicalTrials.gov,data,processed
2958,Investigator,pilot phase,concluded
2959,Investigator,consecutive SARS COV-2 negative tests,collect up
2960,Lung,> 50%,infiltrates
2961,ClinicalTrials.gov,data,processed
2962,URL,dayspost randomization,Major secondary outcome measure:(1
2963,myocardial injury,major impact,is
2964,investigators,strong rationale andworld leading expertise,have
2965,70%,28-day time point,estimated on
2966,Planned subgroup analyses,1)Diabetes,include
2967,ClinicalTrials.gov,data,processed
2968,lower intracellular cholesterol concentration,SREBP 2 upregulating LDL receptor synthesis,leads to
2969,intracellularcholesterol homeostasis,new physiological equilibrium,achieves
2970,intracellular cholesterol content seemsto,virus uptake,influence
2971,Recently anobservational study,theprotective effect,showed
2972,ClinicalTrials.gov,data,processed
2973,Previousexperiences,need,highlight
2974,Previous vivoantiviral studies,Previous vivoantiviral studies activity,showed
2975,Laboratory,infection,confirmed
2976,ClinicalTrials.gov,data,processed
2977,Cincinnati,Cincinnati,had
2978,confirmed case,spread,avoided
2979,ClinicalTrials.gov,data,processed
2980,investigator led non - commercial non - interventional study,patient identifiable information,collect
